id,name,pos,max_qlt,star,max_lvl,group,base,base_weight,material,exp
5207306,-1,4,6,6,20,7,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5207401,-1,5,6,1,5,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5207402,-1,5,6,2,10,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5207403,-1,5,6,3,10,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5207404,-1,5,6,4,15,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5207405,-1,5,6,5,15,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5207406,-1,5,6,6,20,7,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5208101,-1,2,6,1,5,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5208102,-1,2,6,2,10,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5208103,-1,2,6,3,10,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5208104,-1,2,6,4,15,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5208105,-1,2,6,5,15,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5208106,-1,2,6,6,20,8,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5208201,-1,3,6,1,5,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5208202,-1,3,6,2,10,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5208203,-1,3,6,3,10,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5208204,-1,3,6,4,15,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5208205,-1,3,6,5,15,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5208206,-1,3,6,6,20,8,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5208301,-1,4,6,1,5,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5208302,-1,4,6,2,10,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5208303,-1,4,6,3,10,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5208304,-1,4,6,4,15,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5208305,-1,4,6,5,15,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5208306,-1,4,6,6,20,8,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5208401,-1,5,6,1,5,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5208402,-1,5,6,2,10,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5208403,-1,5,6,3,10,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5208404,-1,5,6,4,15,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5208405,-1,5,6,5,15,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5208406,-1,5,6,6,20,8,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5209101,-1,2,6,1,5,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5209102,-1,2,6,2,10,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5209103,-1,2,6,3,10,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5209104,-1,2,6,4,15,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5209105,-1,2,6,5,15,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5209106,-1,2,6,6,20,9,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5209201,-1,3,6,1,5,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5209202,-1,3,6,2,10,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5209203,-1,3,6,3,10,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5209204,-1,3,6,4,15,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5209205,-1,3,6,5,15,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5209206,-1,3,6,6,20,9,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5209301,-1,4,6,1,5,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5209302,-1,4,6,2,10,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5209303,-1,4,6,3,10,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5209304,-1,4,6,4,15,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5209305,-1,4,6,5,15,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5209306,-1,4,6,6,20,9,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5209401,-1,5,6,1,5,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5209402,-1,5,6,2,10,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5209403,-1,5,6,3,10,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5209404,-1,5,6,4,15,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5209405,-1,5,6,5,15,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5209406,-1,5,6,6,20,9,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
