id,name,from,content
155,Belohnungen für Schulerkundung,Systembenachrichtigung,"Lieber Senpai, die Schulerkundung ist zu Ende. Hier sind die noch nicht eingesammelten Belohnungen!"
156,Rangbelohnung für Schulerkundung,Systembenachrichtigung,"Gratuliere, du hast in der diesmaligen Schulerkundung den {1}. Platz belegt und den limitierten Bilderrahmen {2} als Belohnung bekommen! Diese Belohnung läuft in 14 Tagen ab. Bitte prüfe das in deinen persönlichen Informationen."
157,Antiquitätswachstum,Event Mail,"Lieber Senpai, gratuliere, du hast {1} Antiquitätspunkte erreicht. Hier sind deine Grundbelohnungen!"
158,Antiquitätswachstum,Event Mail,"Lieber Senpai, gratuliere, du hast {1} Antiquitätspunkte erreicht. Hier sind deine zusätzlichen Belohnungen!"
159,Premiumzüge für Anfänger,Systembenachrichtigung,"Lieber Senpai, Premiumzüge für Anfänger wurden bereits abgeschlossen. Hier sind die Belohnungen, die du noch nicht gesammelt hast!"
160,Kapselpool für Anfänger,Systembenachrichtigung,"Lieber Senpai, das Event ""Kapselpool für Anfänger"" ist zu Ende. Hier sind deine Belohnungen fürs Ziehen, die du noch nicht eingesammelt hast!"
161,Belohnungen zum Frühlingsbeginn,Systembenachrichtigung,"Gratuliere, Senpai! Du hast beim Event ""Frühlingsbeginn"" {1} Mädchen willkommen geheißen und die folgenden Belohnungen erhalten!"
162,Brautkostüm freigeschaltet,Systembenachrichtigung,"Das Brautkostüm von {1} wurde freigeschaltet. Sie bedankt sich für deine Begleitung ab heute, dem Tag der Eheschließung. {1} hat sich ihr neues Brautkleid angezogen und sieht umwerfend aus! Willst du mit ihr zusammen auf den schönen Moment zurückblicken? \n(Unter ""Date"" kannst du diesen Rückblick jederzeit abspielen.)"
163,Aufladebonus,Systembenachrichtigung,"Gratuliere, du hast während des Events ""Aufladebonus"" {1} Punkte erreicht. Hier sind deine Belohnungen!"
164,Urlaubsfreuden (Bald zu Ende),Systembenachrichtigung,"Lieber Senpai, das Event ""Urlaubsfreuden"" ist in knapp 24 Stunden zu Ende. Vergiss bitte nicht, die Belohnungen einzutauschen!"
165,Kaufen fehlgeschlagen (Gratistausch),Wichtige Benachrichtigung,"
Lieber Senpai,

Yuki hat uns bestätigt, dass du das Paket im Wert von €{1} trotz einer Bezahlung nicht bekommen hast.

Als Entschädigung kannst du dir nun ein gleichwertiges Paket aussuchen. Tippe auf ""Checken"" unten, um zu der Paketseite zu gehen. Tippe auf ""Kaufen"", um das Paket gratis einzutauschen.

Wir entschuldigen uns für die Unannehmlichkeit. Wenn du weitere Fragen hast, wende dich bitte gerne an Yuki."
166,Belohnungen für die Diener-Challenge,Event-Mail,"Lieber Senpai, gratuliere, du hast während des Events ""Diener-Challenge"" die Aufgabe ""Steinli zähmen"" abgeschlossen und folgende Belohnungen erhalten!"
167,Belohnungen für die Diener-Challenge,Event-Mail,"Lieber Senpai, gratuliere, du hast während des Events ""Diener-Challenge"" Steinli auf Lv.{1} gelevelt und folgende Belohnungen erhalten!"
168,Belohnungen für die Diener-Challenge,Event-Mail,"Lieber Senpai, gratuliere, du hast während des Events ""Diener-Challenge"" die Gesamtlevel von Steinlis Auren auf {1} erhöht und folgende Belohnungen erhalten!"
169,Event-Belohnung,Systembenachrichtigung,"Lieber Senpai, das Event {1} ist zu Ende. Die noch nicht gesammelten Belohnungen sind beigefügt!"
170,Einschreibe-Bonus,Systembenachrichtigung,"Gratuliere, du hast bei der {1}-Fraktion {2} Punkte erreicht. Hier sind deine Belohnungen!"
171,Belohnungen für Puppen-Parade,Systembenachrichtigung,"Gratuliere, du hast während des Events ""Puppen-Parade"" {1} Clownpuppen gesammelt. Hier sind deine Belohnungen!"
172,Flaschenpost - Öffnungsbelohnung,Systembenachrichtigung,"Gratuliere, du hast im Event ""Flaschenpost"" {1}x ""{2}en"" geöffnet und folgende Belohnungen erhalten!"
173,Belohnungen für limitierte Aufträge,Systembenachrichtigung,"Gratuliere, du hast die Aufgaben beim Event ""Limitierte Aufträge"" abgeschlossen. Hier sind deine Belohnungen!"
174,Die Himmelsinsel startet bald,Systembenachrichtigung,"Die Himmelsinsel wird bald zugänglich gemacht und du wirst dort auf starke Bosse treffen. Bekämpfe sie gemeinsam mit deinen Gildenmitgliedern!\nIn der Zwischenzeit kannst du die Gilde weder verlassen noch auflösen. Beeil dich, um dich gut auf den Kampf vorzubereiten!\nTippe auf den Eingang zur Himmelsinsel oben rechts auf der Gildenseite, um den Zeitplan zu prüfen."
175,"Belohnungen aus ""Himmelsinsel"" (Einzel)",Systembenachrichtigung,"Lieber Senpai,\n\ndie Himmelsinsel ist geschlossen. Gratuliere, du hast im Kampf gegen Boss {1} den {2}. Platz (in deiner Gilde) belegt. Hier sind deine Belohnungen!"
176,"Belohnungen aus ""Himmelsinsel"" (Gilde)",Systembenachrichtigung,"Gratuliere, deine Gilde hat beim Event ""Himmelsinsel"" den {1}. Platz belegt. Hier sind deine Belohnungen!"
177,Saisonale Waren im Campusladen,Systembenachrichtigung,"Lieber Senpai, die saisonalen Waren im Laden des Alten Campus werden in 24 Stunden entfernt. Beeil dich, um die Belohnungen im Campusladen einzutauschen!"
178,Tötungsbelohnung der Himmelsinsel,Systembenachrichtigung,Der Boss wurde erfolgreich getötet. Hier sind deine Belohnungen!
179,Belohnung des Gildennachschubs,Systembenachrichtigung,"Lieber Senpai, das Mitglied [c][0069cc]{1}[-][/c] hat ein limitiertes Paket als Gildennachschub gekauft und damit allen Mitgliedern ein Geschenk beschert!"
180,Schatzjäger - Rangbelohnung,Systembenachrichtigung,"Gratuliere, du hast den {1}. Platz im Event ""Schatzjäger"" belegt und folgende Belohnungen gewonnen!"
181,Erinnerung: Event-Ende,Systembenachrichtigung,"Lieber Senpai, das Event ""{1}"" endet heute Nacht. Nutze den letzten Tag~"
182,Sammlungsbelohnung,Event-Mail,"Glückwunsch! Du hast im Event ""Einsatz in der Fremde"" {1} mystische Kristalle gesammelt. Hier sind deine Belohnungen dafür!"
183,"Rang-Belohnungen aus ""Himmelsinsel""",Systembenachrichtigung,"Gratuliere, deine Gilde hat den {1}. Platz im Gildenevent ""Himmelsinsel"" belegt! Du erhältst einen limitierten Avatarbildrahmen ""{2}"" als Belohnung, der für 28 Tage gültig ist. Bitte tippe auf dein Profilbild, um den Rahmen anzuschauen!"
184,Rückkehrhilfe - Standardbelohnungen,Event-Mail,"Lieber Senpai, gratuliere, du hast {1} Rückkehrer-Punkte erhalten. Hier sind deine Standardbelohnungen!"
185,Rückkehrhilfe - Zusatzbelohnungen,Event-Mail,"Lieber Senpai, gratuliere, du hast {1} Rückkehrer-Punkte erhalten. Hier sind deine Zusatzbelohnungen!"
186,Wetten zur Aufnahmeprüfung,Systembenachrichtigung,"Gratuliere, du hast die Wette bei der Aufnahmeprüfung gewonnen! Hier sind deine Belohnungen!"
187,Miss Yume - Abstimmungsbelohnung,Event-Mail,"Lieber Senpai, gratuliere, du hast während des Event ""Miss Yume"" die Abstimmungsaufgabe abgeschlossen. Hier sind deine Belohnungen!"
188,Tägliches Geschenk der Sterne,Event-Mail,"Lieber Senpai, bitte nimm das Geschenk der Sterne an! Die Sterne werden dich weiter segnen und Vivian wünscht dir alles Gute in der Yume Akademie!"
190,Aufnahmeprüfung - Stufe erhöht,Event-Mail,"Gratuliere, deine Stufe im Event ""Aufnahmeprüfung"" wird erhöht! Bitte gehe zum Event, um die neu entsperrten Effekte, die deiner aktuellen Stufe entsprechen, zu prüfen!"
191,Outfit Shopping-Festival,Systembenachrichtigung,"Gratuliere, du hast während des Events ""Outfit Shopping-Festival"" die entsprechenden Aufgaben abgeschlossen und folgende Belohnungen erhalten!"
192,Rotkäppchen-Belohnungen,Event-Mail,"Vielen Dank für den Kauf von ""Rotkäppchens Geschenk"". Hier sind die heutigen Belohnungen. Deine Luxus-Belohnungen (Lv.2) laufen in {1} Tag(en) ab!"
193,Rotkäppchen-Belohnungen,Event-Mail,"Vielen Dank für den Kauf von ""Rotkäppchens Geschenk"". Hier sind die heutigen Belohnungen. Deine Luxus-Belohnungen (Lv.3) laufen in {1} Tag(en) ab!"
194,Kostümanpassung (Wasserpistole),Systembenachrichtigung,"
Lieber Senpai,

die Darstellung vom Kostüm ""Wasserpistole"" wurde angepasst. (Der Hintergrund dieses Kostüms wurde aus dem Kostümbild entfernt und die optimierte Version dieses Hintergrundbildes findest du unter Menü - Bilder - Hintergrundbilder.) 

Bitte entschuldigt die Unannehmlichkeit. Hierzu werden 300 Dias als Entschädigungen gesendet."
195,Kostümanpassung (Strand & Sonne),Systembenachrichtigung,"
Lieber Senpai,

die Darstellung vom Kostüm ""Strand & Sonne"" wurde angepasst. (Der Hintergrund dieses Kostüms wurde aus dem Kostümbild entfernt und die optimierte Version dieses Hintergrundbildes findest du unter Menü - Bilder - Hintergrundbilder.) 

Bitte entschuldigt die Unannehmlichkeit. Hierzu werden 300 Dias als Entschädigungen gesendet."
196,Auszeichnung der Aufnahmeprüfung,Event-Mail,"Gratuliere, du hast im Event ""Aufnahmeprüfung"" die höchste Stufe erreicht und den limitierten Avatarbildrahmen ""Ausgezeichneter Student"" erhalten! Dieser Rahmen läuft in 28 Tagen ab. Unter ""Persönliche Info"" kannst du den Rahmen überprüfen."
197,Yume Sportfest - Elite Wettkampf,Event-Mail,Glückwunsch! Du bist beim Yume Sportfest unter den TOP100 gelandet und hast dich für den Elite Wettkampf qualifiziert! Bitte nimm an dem Kampf teil!
198,Praktische Arbeit - Belohnungen,Systembenachrichtigung,"Gratuliere, du hast ein neues Thema bei der praktischen Arbeit abgeschlossen und folgende Belohnungen erhalten!"
199,Neulingsfonds,Systembenachrichtigung,"Lieber Senpai,\n\nbezüglich der Anpassung des Neulingsfonds werden dir hier die restlichen Belohnungen von deinem zuvor gekauften Neulingsfonds per Mail gesendet. Bitte sammle sie ein!"
200,Korridore der Zeit - Stufenbelohnung,Systembenachrichtigung,"Gratuliere, du hast im Korridor · {1} den {2}. Platz auf der Schadensrangsliste belegt. Hier sind deine Belohnungen!"
201,Monatsthema,Systembenachrichtigung,Herzlichen Glückwunsch. Du hast die Praktische Arbeit zum Monatsthema erledigt. Hier sind deine Belohnungen!
202,Deluxe-Belohnung,Systembenachrichtigung,Herzlichen Glückwunsch. Du hast die Praktische Arbeit zum Monatsthema erledigt. Hier sind deine Deluxe-Belohnungen!
203,Belohnung - Praktische Arbeit,Systembenachrichtigung,"Gratuliere, du hast die entsprechenden Runden in der praktischen Arbeit abgeschlossen und folgende Belohnungen erhalten!"
204,Korridore der Zeit - Stufenbelohnung,Systembenachrichtigung,"Gratuliere, du hast im Korridor · {1} einen Platz in den Top {2}% auf der Schadensrangsliste belegt. Hier sind deine Belohnungen!"
205,Qualifikationsrunde endet bald,Systembenachrichtigung,"Lieber Senpai,\n\ndie Qualifikationsrunde in der Ultimativen Arena geht in 24 Stunden zu Ende. Nutze die letzten Stunden, um noch mehr Kämpfe für dich zu entscheiden!"
206,Abrechnungsbelohnung (Qualifikation),Systembenachrichtigung,"Gratuliere, du hast in der Qualifikationsrunde in der Ultimativen Arena die Stufe {1} erreicht! Hierzu werden dir folgende Belohnungen zur Anerkennung deiner Kraft und deines Muts gesendet!"
207,Rangbelohnung (Ultimative Arena),Systembenachrichtigung,"Gratuliere, du bist der Champion der Ultimative Arena geworden und erhältst einen limitierten Avatarbildrahmen! Der Rahmen ist gültig für 28 Tage und kann unter ""Persönliche Info"" geprüft werden."
208,Rangbelohnung (Ultimative Arena),Systembenachrichtigung,"Gratuliere, du hast Top {1} in der Ultimativen Arena erreicht und erhältst einen limitierten Avatarbildrahmen! Der Rahmen ist gültig für 28 Tage und kann unter ""Persönliche Info"" geprüft werden."
209,Hacke für Schatzjäger,Event-Mail,"Senpai, Iron Fist hat dir (eine) neue goldene Hacke(n) besorgt! Geh schnell zum Schatzjäger-Event und such nach den Schätzen!"
210,Persönliche Belohnung (Polarexpedition),Event-Mail,Du hast während der Polarexpedition ausgezeichnet gekämpft! Die Elfen des Nordens haben dir folgende Belohnungen gebracht!
211,Lagerbelohnung (Polarexpedition),Event-Mail,"Gratuliere, dein Lager hat während der Polarexpedition den {1}. Platz belegt! Hierzu werden dir folgende Lagerbelohnungen gesendet!"
212,Belohnungen (Sicherheitstrupp),Systembenachrichtigung,Du wurdest von dem Chaos-Lord besiegt. Sammle den Nachschub unten ein und versuche es weiter! (Der Bonus des Outfits wurde ausgelöst und du erhältst zusätzliche Kristallmeißel.)
213,Belohnungen (Sicherheitstrupp),Systembenachrichtigung,Du hast dem Chaos-Lord einen hohen Schaden zugefügt und er hat sich zurückgezogen! Sammle die Belohnungen ein und kämpfe weiter! (Der Bonus des Outfits wurde ausgelöst und du erhältst zusätzliche Kristallmeißel.)
214,Belohnungen (Sicherheitstrupp),Systembenachrichtigung,Du hast den Chaos-Lord erfolgreich besiegt und bist in ein gefährlicheres Gebiet eingetreten. Bitte sammle die Belohnungen ein! (Der Bonus des Outfits wurde ausgelöst und du erhältst zusätzliche Kristallmeißel.)
215,Weihnachtsaustausch geht bald zu Ende,Event-Mail,"Lieber Senpai,\n\ndas Event ""Weihnachtsaustausch"" geht bald zu Ende. Vergiss bitte nicht, deine gewünschten Geschenke zu tauschen!"
216,Belohnungen zum Fischmeister,Systembenachrichtigung,"Gratuliere, du hast im Event ""Sommerangebote"" insgesamt {1} Fische gefangen und folgende Belohnungen erhalten!"
217,Alter Campus endet bald,Systembenachrichtigung,"Lieber Senpai, Alter Campus wird in 24 Stunden geschlossen. Bitte begebe dich schnell auf den Campus, um höhere Etagen zu erobern!"
218,Letzter Tag für limitierte Pakete!,Systembenachrichtigung,"Lieber Senpai, das Paket-Event ""{1}"" wird in 1 Tag beendet! Verpass die preiswerten Pakete bloß nicht!"
219,Bonus zum Feuerwerksspektakel,Systembenachrichtigung,"Lieber Senpai, hast du heute schon am Event ""Feuerwerksspektakel"" teilgenommen? Hier, ich schick dir noch ein Streichholz als Bonus!"
220,Belohnungen zum Feuerwerksspektakel,Systembenachrichtigung,"Gratuliere, du hast während des Events ""Feuerwerksspektakel"" insgesamt {1} Feuerwerksshow(s) abgeschlossen und folgende Belohnungen erhalten!"
221,Rangbelohnung - Prüfung der Götter,Systembenachrichtigung,"Gratuliere, du hast während der Prüfung der Götter den {1}. Platz (im Gesamtrang) belegt und folgende Belohnungen erhalten!"
222,Rangbelohnung - Prüfung der Götter,Systembenachrichtigung,"Gratuliere, du hast in der ""{1}"" unter Prüfung der Götter den {2}. Platz belegt und folgende Belohnungen erhalten!"
223,Baue Luvly ein Traumschloss auf!,Systembenachrichtigung,"
Liebe(r) Senpai,

das Event ""Luvlys Traumschloss"" hat begonnen. Sammle den Sand und baue schnell ein Traumschloss für Luvly auf!
Du hast bereits {1} 5-Sterne Mädchen, {2} 6-Sterne Mädchen und {3} 10-Sterne Mädchen unter Galerie entsperrt. Die Belohnungen der entsprechenden Aufgaben wurden in deinen Rucksack gesendet!"
224,Belohnungen zur Aufstiegsprüfung,Event-Mail,"Gratuliere, du hast an der Super Kapselmaschine {1} Mal gezogen und folgende Belohnungen im Event ""Aufstiegsprüfung"" erhalten."
225,Premium Belohnungen zur Aufstiegsprüfung,Event-Mail,"Gratuliere, du hast an der Super Kapselmaschine {1} Mal gezogen und die Premium Belohnungen im Event ""Aufstiegsprüfung"" entsperrt und folgende Belohnungen erhalten!"
226,Belohnungen - 0€-Investment,Event-Mail,"Liebe(r) Senpai,\n\ndie Belohnungen, die du im Event ""0€-Investment"" noch nicht gesammelt hast, werden hierzu per Mail gesendet! Bitte sammle sie ein!"
227,Hinweis auf Eventende (Kapselsimulator),Event-Mail,"Liebe(r) Senpai,\n\ndas Event ""Kapselsimulator"" wird in knapp 24 Stunden beendet. Nach dem Ende des Events werden deine restlichen Tauschmünzen automatisch nach der Reihe gegen die gespeicherte Mädchen (Reserve) eingetauscht, bis alle Tauschmünzen verwendet werden. Die Mädchen-Fragmente werden per Mail gesendet. Ziehe schnell die Kapseln und tausche die gewünschten Mädchen!"
228,Tauschmünzen autom. verwendet,Event-Mail,"Liebe(r) Senpai,\n\ndas Event ""Kapselsimulator"" wurde beendet. Die noch nicht verwendeten Tauschmünzen werden automatisch nach der Reihe die Mädchen (Reserve), die du im Event gezogen und gespeichert hast, eingetauscht. Die Mädchen-Fragmente werden hierzu per Mail gesendet. Bitte sammle sie ein."
229,Rangbelohnung (Arena),Systembenachrichtigung,"Gratuliere, du hast Top {1} in der Arena erreicht und erhältst einen limitierten Avatarbildrahmen! Der Rahmen ist gültig für 14 Tage und kann unter ""Persönliche Info"" geprüft werden."
230,Überserver-Arena beginnt,Systembenachrichtigung,"Lieber Senpai, die Überserver-Arena hat begonnen. Spiele schnell die neueste Version und erober die Überserver-Arena!"
231,Arena wird upgegradet,Systembenachrichtigung,"Lieber Senpai, die aktuelle Saison in der Arena auf deinem Server wird {1} Tage dauern und nach dem Ende dieser Saison wird die Überserver-Arena eingeführt, in der auch die Spieler anderer Servern gegen dich kämpfen werden. Bereite dich vor!"
232,Belohnungen zum Diener-Training,Systembenachrichtigung,"Lieber Senpai, um dir ein besseres Spielerlebnis zu ermöglichen, hat das Entwicklungsteam die Funktion ""Trainingskurs"" optimiert. Alle Trainingskurse wurden bereits abgerechnet und die Belohnungen werden hierzu per Mail gesendet. Bitte sammle sie ein."
233,Belohnungen (Pass zum Buchheiligtum),Systembenachrichtigung,"
Liebe(r) Senpai,

aufgrund vom Zurücksetzen der monatlichen Events wurde die Dauer des Events „Pass zum Buchheuligtum“ gewissermaßen verkürzt, sodass nicht alle Punktaufgaben richtig vor dem Ende des Passes fertig abgeschlossen werden können

Hierzu werden die Belohnungen, die allen noch nicht abgeschlossenen Punktaufgaben entsprechen, per Mail gesendet. Bitte sammle sie ein.

Wir entschuldigen uns für alle dadurch entstandenen Unannehmlichkeiten. Solltest du weitere Fragen haben, wende dich bitte gerne an uns."
234,Schatzjäger endet in 24H,Systembenachrichtigung,"Lieber(r) Senpai, das Event ""Schatzjäger"" wird in 24 Stunden beendet. Bitte begebe dich schnell ins Event, um die Schätze zu erkunden!"
235,Tägliche Belohnungen,Systembenachrichtigung,"Melde dich während der Events an, um täglich folgende Belohnungen zu erhalten. Bitte sammle sie ein!"
236,Buch der Illusion endet in 24H,Systembenachrichtigung,"
Liebe(r) Senpai,

die aktuelle Saison von „Buch der Illusion“ geht in 24 Stunden zu Ende!

Die Mädchensticker werden nach dem Ende dieser Saison entfernt. Bitte denk daran, deine Mädchensticker rechtzeitig einzutauschen!"
240,Boni zum Altar,Systembenachrichtigung,"
Liebe(r) Senpai,

das Event „Boni zum Altar“ wurde bereits beendet. Der Anzahl deiner Ziehungen am Altar unter Sternen entsprechend werden folgende Belohnungen gesendet. Bitte sammle sie ein!

Vielen Dank für deine Unterstützung zu GXB2. Solltest du irgendwelche Fragen über das Event haben, wende dich bitte gerne an unseren Support!

GXB2 Entwicklungsteam"
239,Belohnungen zum Fischmeister,Systembenachrichtigung,"Gratuliere, du hast im Event ""Sommerangebote"" insgesamt {1} Fische gefangen und folgende Belohnungen erhalten!"
237,Exklusives Paket (Einsatz ins Manor),Event-Mail,"Liebe(r) Senpai,\n\ndie heutigen Belohnungen des exklusiven Pakets ({1} x3) zum Manor wurden bereits gesendet. Los zum Manor, um die anderen Spieler zu plündern!"
238,Einsatz ins Manor,Event-Mail,"Liebe(r) Senpai,\n\ndein Abenteuer im Manor ist beendet und die Besichtigungsphase beginnt! Danke für deine fleißige Arbeit!"
241,Zusatzbelohnung (Verlassene Raumstation),Event-Mail,"Liebe(r) Senpai,\n\ndu hast die zusätzlichen Belohnungen im Event ""Verlassene Raumstation"" entsperrt! Deinen abgeschlossenen Raumstationen entsprechend werden folgende Belohnungen gesendet. Bitte sammle sie ein!"
242,Rotkäppchen-Belohnungen,Event-Mail,"Vielen Dank für den Kauf von ""Rotkäppchens Geschenk"". Hier sind die heutigen Belohnungen. Deine Luxus-Belohnungen (Lv.5) laufen in {1} Tag(en) ab!"
243,Belohnungen zu Miss Yume,Event-Mail,"Liebe(r) Senpai,\n\ndu hast während des Events ""Miss Yume"" {1} VIP-EXP erhalten. Heute ist der {3}. Tag des Events und du kannst den erhaltenen VIP-EXP entsprechend Belohnungen für maximal {2} Tag(e) zusätzlich erhalten! Deine heutigen Belohnungen sind wie folgt. (Details zum Erhalten dieser Belohnungen findest du in den Regeln des Events.)"
244,Belohnungen des Glücksbringers,Event-Mail,"Liebe(r) Senpai,\n\ndu hast den Glücksbringer (Exklusiv) gekauft und hier sind deine heutigen Belohnungen. Bitte sammle sie ein!"
245,Segen von Cupid,Event-Mail,"Liebe(r) Senpai,\n\ndeine Chance fürs Beten sind automatisch zurückgesetzt. Insgesamt sind {1} Chance(n) nicht genutzt und sie werden für Dias recycelt. Bitte sammle sie ein!"
246,Alter Campus - Schadensbelohnung,Systembenachrichtigung,"Gratuliere, du hast den {1}. Platz auf der Schadensrangliste der 11. Etage im ""Alten Campus"" belegt. Hier sind deine Belohnungen!"
247,Belohnung zu Aktiv-Punkten (Himmelsinsel),Systembenachrichtigung,"Gratuliere, während des Gilden-Events ""Himmelsinsel"" hat deine Gilde {1} Aktiv-Punkte erhalten. Hier sind deine Belohnungen!"
248,Fischmünzen zu Sommerangeboten,Event-Mail,"Liebe(r) Senpai, die dir fehlenden {1} Fischmünzen wurden bereits in deinen Rucksack gesendet. Prüfe schnell die Belohnungen, um sie rechtzeitig zu tauschen~"
249,Glaxisreise - Rangbelohnungen,Systembenachrichtigung,"Gratuliere, du hast den {1}. Platz in der Reise durch die Galaxis belegt. Hier sind deine Belohnungen!"
250,Phase-Belohnungen,Systembenachrichtigung,"Gratuliere, du hast die Ziele der {1}. Phase im Event ""Einladung zur Einschulung"" erreicht und folgende Belohnungen erhalten!"
251,Belohnungen zur Verbindung,Systembenachrichtigung,"Gratuliere, du wurdest von einem Spieler zur Einschulung erfolgreich eingeladen und folgende Belohnungen erhalten. Grüße dich mal mit deinem Senior~"
252,Belohnungen für Senior,Systembenachrichtigung,Der Neuling {1} hat das Ziel der {2}. Phase erreicht. Als Senior erhältst du folgende Belohnungen!
253,Belohnungen zum Teilen,Systembenachrichtigung,"Gratuliere, du hast in dieser Woche zum ersten Mal die Spielinhalte geteilt und folgende Belohnungen erhalten!"
254,Phasenbelohnungen zum Laternenfest,Event-Mail,"Gratuliere, du hast das Laternenfest Yumes bis zur Phase ""{1}"" veranstaltet und folgende Belohnungen erhalten!"
255,Gilden-Beloh. zum Gilden-Wettbewerb,Systembenachrichtigung,"Gratuliere, deine Gilde hat den {1}. Platz in der aktuellen Saison des Gilden-Wettbewerbs belegt. Hier sind deine Belohnungen!"
256,Per. Beloh. zum Gilden-Wettbewerb,Systembenachrichtigung,"Gratuliere, du hast im Gilden-Wettbewerb den {1}. Platz in deiner Gilde belegt. Hier sind deine Belohnungen!"
257,Neue Elite Arena hat begonnen!,Systembenachrichtigung,"Liebe(r) Senpai, die brandneue Elite Arena im Überserver-Modus wurde bereits eingeführt. Fordere schnell stärkere Gegner heraus!"
258,Belohnungen zu Luvlys Aufgaben,Systembenachrichtigung,"Gratuliere, du hast im Event ""Luvlys Inselreise"" {1} Steuer verwendet und die Aufgabe von Lulvy abgeschlossen! Hier sind die Belohnungen!"
259,Belohnungen zu Pollys To-Do-Liste,Event-Mail,"Gratuliere, du hast die Aufgabe ""Tägliches Anmelden ({1}/7)"" in Pollys To-Do-Liste abgeschlossen und folgende Belohnungen erhalten!"
260,Gilden-Beloh. zum Gilden-Wettbewerb,Systembenachrichtigung,Vielen Dank für deine Teilnahme am Gilden-Wettbewerb. Hier sind die Belohnungen zum letzten Gilden-Wettbewerb!
261,Belohnungen zum Drachenpalast,Event-Mail,"Gratuliere, du hast die Aufgabe ""Sammle 1 {1} ein"" abgeschlossen und folgende Belohnungen erhalten!"
262,Belohnungen zu Pollys To-Do-Liste,Event-Mail,"Gratuliere, du hast die Aufgabe ""Schließe eine 4/5/6/7-Sterne Jobaufgabe ab ({1}/10)"" in Pollys To-Do-Liste abgeschlossen und folgende Belohnungen erhalten!"
263,Belohnungen zu Pollys To-Do-Liste,Event-Mail,"Gratuliere, du hast die Aufgabe ""Schließe 3 Kämpfe in der Arena ab ({1}/10)"" in Pollys To-Do-Liste abgeschlossen und folgende Belohnungen erhalten!"
264,Belohnungen zu Pollys To-Do-Liste,Event-Mail,"Gratuliere, du hast die Aufgabe ""Verwende 10 Stempel ({1}/10)"" in Pollys To-Do-Liste abgeschlossen und folgende Belohnungen erhalten!"
265,Belohnungen zu Pass für Seelensammler,Systembenachrichtigung,"Liebe(r) Senpai,\n\ndie letzte Saison vom ""Land der Seelen"" wurde bereits beendet. Die mittlerweile nicht gesammelten Belohnungen werden nachträglich gesendet. Bitte sammle sie ein!"
268,Galaxisreise endet bald!,Systembenachrichtigung,"Liebe(r) Senpai,\n\ndie Erkundungsphase der aktuellen Saison der Galaxisreise endet in 24 Stunden. Erkunde schnell noch mehr Gebiete in der Galaxis!"
266,Belohnungen zur Schnitzerei,Systembenachrichtigung,"Gratuliere, du hast im Event ""Kürbislaterne"" {1} {2}se geschnitzt und folgende Belohnungen erhalten!"
267,Beitragsbelohnung zur Schnitzerei,Systembenachrichtigung,"Gratuliere, du hast im Event ""Kürbislaterne"" den {1}. Platz auf der Beitragsrangliste belegt und folgende Belohnungen erhalten!"
269,Tägliche Belohnungen,Systembenachrichtigung,"Melde dich während der Events an, um täglich folgende Belohnungen zu erhalten. Bitte sammle sie ein!"
270,Aufladeprämien,Event-Mail,"Gratuliere, du hast {1} VIP-EXP erhalten und folgende Belohnungen im Event ""Aufladeprämien"" erhalten!"
271,Belohnungen zum Sternenwunsch,Systembenachrichtigung,"Liebe(r) Senpai, du hast im Event ""Sternenwunsch"" folgende Belohnungen erhalten. Bitte sammle sie ein!"
