id,desc,answer_desc,result_desc
90,파티에서 누군가가 불을 끄고 어둠 속에서 팀을 이루어 의자 뺏기 놀이를 하자고 합니다.,은월 팀에 들어간다.|위연 팀에 들어간다.,"모두들 은월이 특별한 능력을 가지고 있다고 말했고, 이런 게임에 참여하는 것은 다른 사람들에게 불공평하기 때문에 결국 은월은 참여하지 않았고 결국 참가상만 받았습니다.|위연은 어둠 속에서 황급히 기계 팔을 휘두르며 도구 의자를 때려 부셨고 상대편은 뺏을 수 있는 의자가 없어 탈락했습니다. 결국 당신이 속한 팀은 좋은 성적을 거두었지만, 주최자로부터 푸짐한 경품은 반이 공제되었고 의자 복구에 사용되었습니다."
91,요즘 학원에서 무슨 일이 벌어지고 있는지 궁금해서 신문을 한 부 사고 싶습니다.,「유몽 일보」 구매|「극비 100% 」구매,"지난 유몽 체육 대회 경기 후 인터뷰도, 신위 학부 은월을 상대로 한 단독 인터뷰도 너무 공식적이고 지루했고 당신은 가장 좋아하는 「일일 유머 세 가지」라는 것을 봤습니다.|신문 내용은 모두가 다 아는 구설수라서 당신은 제목만 보고 더 이상 자세히 보지 않았고 도서관으로 달려가 조식을 찾아 이야기를 나누며 즐거운 하루를 보냈습니다."
92,유몽 체육 대회에서 당신의 학부의 한 선수가 결석을 해 임시로 한 프로그램에 참여해야 합니다.,레이스에 참가한다.|발리볼에 참가한다.,트랙의 여우털을 밟아서 발을 삐끗해 경기를 마치지 못했습니다.|은월의 풀파워에 머리를 맞고 의식을 잃어 한참 있다 깨어났고 경기를 마치지 못했습니다.
93,"유표가 게임을 하자고 초대했는데, 마침 시간이 나서 약속했습니다.",21점을 친다.|바둑을 둔다.,유표의 손이 젖어 포커 카드를 한번 쓰고 다시 쓸 수 없었다.|규칙이 익숙하지 않아 한참 뒤에야 한 판이 끝납니다. 다음에 같이 장기를 두기로 했는데 유표가 물을 묻혀 며칠 지나지 않아 말에는 곰팡이가 피었습니다.
94,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
95,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
96,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
97,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
98,장비가 당신을 초대해 그녀가 만든 새로운 음식을 시식했는데 한 입 먹고 바로 쓰러졌습니다. 깨어보니 그 새로운 요리는 자주 잠에 들지 못하는 소수의 후배들을 위해 특별히 개발된 것이었다는 것을 알게 되었습니다.,,
99,"길에서 우연히 제갈량을 만났고, 그녀를 불러 함께 잃어버린 물건을 찾자고 했습니다. 하지만 제갈량은 더 중요한 일이 있어 보였고, 간단한 힌트를 주고는 가버렸습니다.",,
100,"캡슐 머신에 새로운 상품이 추가됬지만, 더 이상 뽑을 자원이 없습니다. 더욱 노력해서 열심히 일해야 해요.",,
101,얼음과 눈의 차이를 알아내려고 등애에게 물어봤고 등애는 시연을 하다가 실수로 얼어버렸습니다.,,
102,"상점가는 사람들이 많이 오고가는데, 사람들 사이를 걷다가 한 쌍의 하얀 날개가 마주 오는 것을 보았습니다.",손을 내밀어 깃털을 만진다.|한 쪽 옆으로 비킨다.,"날개의 주인은 놀라며, 마치 무의식적인 힘을 쓴 것 같이 당신의 손은 화상을 입었습니다.|방통은 이미  길을 잘못 들었고 당신을 발견해 기뻤습니다. 그녀를 마음에 드는 가게로 데리고 가라고 졸랐고, 보수로 깃털 하나를 주었습니다."
103,파티에서 누군가가 불을 끄고 어둠 속에서 팀을 이루어 의자 뺏기 놀이를 하자고 합니다.,은월 팀에 들어간다.|위연 팀에 들어간다.,"모두들 은월이 특별한 능력을 가지고 있다고 말했고, 이런 게임에 참여하는 것은 다른 사람들에게 불공평하기 때문에 결국 은월은 참여하지 않았고 결국 참가상만 받았습니다.|위연은 어둠 속에서 황급히 기계 팔을 휘두르며 도구 의자를 때려 부셨고 상대편은 뺏을 수 있는 의자가 없어 탈락했습니다. 결국 당신이 속한 팀은 좋은 성적을 거두었지만, 주최자로부터 푸짐한 경품은 반이 공제되었고 의자 복구에 사용되었습니다."
104,"학생회가 구성원을 확대하려고 하자, 제갈량이 이 일을 당신에게 맡겼습니다.",학교 방송으로 모집한다.|신문부에 부탁해 내일 메인 기사로 나가게 한다.,"거대한 무기를 휘두르는 회색 '야수'가 지원하러 와, 당신이 식당의 칠면조 세 마리를 선물로 준 후에야 무작정 싸우려고만 하는 이 불청객을 보낼 수 있었습니다.|가브리엘은 요즘 항상 새로운 곡을 연습하느라 이 일을 잊고 있었고, 오전 내내 아무도 지원한 사람이 없어 매점에 가서 점심으로 도시락을 샀는데, 맛있어서 위안이 되었습니다."
105,커피숍은 최근에 새로운 커피 머신을 사용하기 시작했지만 이 기계는 점원들은 매우 쓰기 불편합니다.,기계를 고치기 위해 허저를 부릅니다.|조운을 부릅니다.,"허저는 커피 머신이 쉽게 멈추는 것을 알고 두 시간 동안 열심히 고쳤습니다. 기계 내부로 인해 멈춤 현상이 괴력 로리에 의해 마모된 것 같으며, 모두 허저가 수리했습니다.|카페 점원과 고객들이 앞다투어 말을 걸어올 정도로 인기를 끌었고, 커피가 맛있는 건지, 커피 머신이 수리됐는지 신경 쓰는 사람은 없었습니다."
106,기숙사 문 밖에서 급하게 문을 두드리는 소리에 잠에서 깹니다.,문을 열고 누가 문을 두드리는지 본다.|이불을 귀까지 덮고 계속 잠을 잔다.,"문을 열어보니 아무도 없었고 고개를 숙이니 황월영의 브루노가 있었다. 브루노를 다시 황월영에게 돌려보내 줬고  그녀는 매우 감동하여 파란 비스킷 한 상자를 주었습니다.|거의 잠을 못잤고, 보건실에 가서 화티 선생님을 찾아갔는데 파란 비스킷을 채워 넣어 불면증을 치료할 수 있었습니다."
107,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
108,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
109,"탐색 팀이 신비한 적을 만났습니다. 전투하시겠습니까? (전투 실패 시 탐색 시간이 늘어나며, 전투에 참여하지 않을 경우 보상 획득 불가)",,탐색 팀이 적을 이겼습니다!|적을 이기지 못했지만 안전하게 철수했습니다.
