1,title,name,dialog,select_text
291,,Iron Fist,"Lors des entraînements, c'est comme ça qu'Amazon tire sur les pommes ?",
292,,Aquaris,"Oui, non seulement elle peut effectuer une centaine de tir, mais elle peut également contrôler sa force avec précision.",
293,,Aquaris,"Elle laisse à chaque fois une trou rond dans la pomme sans la casser en disant que c'est pour ne pas la gaspiller, c'est plus pratique ensuite… pour que je les mange.",
294,,Aquaris,Briser la cible le plus tôt possible est le meilleur moyen d'empêcher les autres d'obtenir des points.,
295,,Iron Fist,"Aquaris, depuis quand vous vous entraîniez ?",
296,,Aquaris,Si je dois compter... Peut-être plus d'un mois ?,
297,,Aquaris,Qu'est-ce qu'il y a ? Pourquoi tu me demandes ça ?,
298,,Iron Fist,"Si je ne me trompe pas, après un entraînement si long avec des pommes, pour elle ce geste n'est devenu qu'un simple réflexe…",
299,,Aquaris,"Iron Fist, tu veux dire que… en voyant une pomme elle va juste naturellement lui tirer dessus ?",
300,,Iron Fist,"Oui… et le pire dans tout ça c'est que Valeera, sur son siège d'arbitre… (déglutit) s'apprête à manger une pomme.",
301,,,Insconsciemment Amazon avait déjà bandé sa flèche lorsque le point rouge fit son apparition. La sensation de la flèche sur la corde lui rappela ses innombrales entraînements de jour comme de nuit.,
302,,,"Ce ne fut que lorsque la queue de la flèche carressa sa joue qu'Amazon remarqua que ce n'était pas le même type de flèche qu'elle utilisait pour son entraînement, la flèche était partie.",
303,,Amazon,"Oups ! Valeera, ATTENTION !",
304,,Valeera,Hein ? ? !,
305,,,"Même si Amazon était confiante que cette flèche traverserait la pomme exactement comme toutes les autres pommes à l'entraînement, elle ne put tout de même s'empêcher d'avoir une sueur froide.",
306,,,"Entendant les cris de panique, Valeera lâcha sa pomme pour invoquer un mur de glace devant elle.",
307,,,"La flèche tirée par Amazon semblait avoir des yeux car après que Valeera eut lâché la pomme, elle changea de direction pour continuer à se diriger vers la pomme.",
308,,,"En un instant, la flèche traversa la pomme, la cloua au mur derrière la chaise d'arbitre, et la pomme perforée retomba ensuite dans la main de Valeera.",
309,,Valeera,"Même si la trajectoire de la pomme a été modifiée en cours de route, la flèche a tout de même touché sa cible, Amazon mérite vraiment son titre de tireuse d'Élite.",
310,,Amazon,"Cependant ce n'était que de l'instint, cela ne mérite donc pas de compliment…",
311,,Amazon,"Valeera, je suis désolée, j'ai failli te blesser.",
312,,Valeera,"Ne t'inquiète pas, si j'étais incapable de me protéger moi-même, j'aurais trop honte.",
313,,Valeera,"Cependant, tu dois être disqualifiée pour avoir attaquer l'arbitre.",
314,,Amazon,"Oui… je suis désolée, je me retire de la compétition.",
315,,Valeera,"Attends un instant, même si tu ne peux pas continuer la compétition, j'aimerais te décerner un prix spécial par rapport à tes performances exceptionnelles.",
316,,Valeera,"Et aussi… cette pomme, j'aimerais la garder en tant que souvenir.",
317,,Amazon,"Bien… Bien sûr, si tuveux, je peux même t'en faire plus…",
318,,Valeera,"Non c'est bon, s'il y a trop de pommes, ce sera du gaspillage… je n'ai pas un gros estomac.",
319,,Aquaris,"Ah, on dirait que quelqu'un parle de moi…",
320,Combat à Cheval,Valeera,Hein ? Combat à cheval ? Il me semble avoir vu ce nom quelque part sur le calendrier des compétitions.,
321,,Valeera,"Mais… je ne sais pas monter à cheval, il n'y a aucun moyen que j'y participe~",
322,,Ésaü,Non non non ! Le combat à cheval n'utilise pas vraiment de 「chevaux」normaux !,
323,,Jacob,"Le combat à cheval nécessite une équipe de 4 joueuses, l'une d'elle sera la cavalière tandis que les 3 autres feront le 「cheval」.",
324,,Jacob,"Pour le「cheval」les joueuses doivent se donner positionner devant, sur la droite, la gauche et se donner les mains pour soutenir la cavalière. De plus la cavalière devra porter un bandeau sur la tête.",
325,,Jacob,"Pendant le jeu, vous devrez faire de votre mieux pour récupérer les bandeaux des adversaires. À la fin, l'équipe qui aura conservé son bandeau et récupérer le plus de bandeaux sera l'équipe gagnante.",
326,,Valeera,"Oh, Jacob tu as l'air de bien connaître les règles~",
327,,Valeera,"Hum, mais je suis vraiment désolée, j'ai vraiment peu de force~",
328,,Valeera,Il n'y a donc peut-être aucun moyen pour moi de vous être utile.,
329,,Jacob,"Valeera, tu seras la cavalière ne t'inquiète pas, de plus…au vu de ta petite taille…",
330,,Ésaü,Jacob ! Il y a des choses que tu n'as pas besoin de dire…,
331,,Ésaü,"Valeera ne t'énerve pas, parfois les personnes de petites tailles bénéficient souvant d'avantages innatendus lors de combat à cheval~",
332,,Jacob,"Ésaü tu sous-entends aussi que… pardon, je me tais.",
333,,Valeera,"Ce n'est pas grave, mais je pense quand même que vous devriez inviter quelqu'un d'autre~",
334,,Valeera,"Les soeurs ont souvent l'avantage dans ce genre de compétition, ne perdez pas cet avantage à cause de moi.",
335,,Ésaü,"C'est dommage, on dirait que nous devons trouver une autre coéquipière.",
336,,Valeera,"Hé, je ne sais pas si Ithil participe ? Si on pouvait être coéquipières…",
337,,Ithil,"Si je fais partie de l'équipe, tu y participeras ?",
338,,Valeera,"Oui ! Parce que même si nous perdons, j'en garderais un très bon souvenir.",
339,,Valeera,"De plus, tu es tellement éblouissante Ithil, personne ne fera attention à moi.",
340,,Ithil,"Alors c'est décidé, toi et moi, on participe au combat à cheval !",
341,,Valeera,"Mais pour participer à un combat de cheval il faut être 4, nous ne sommes que 2…",
342,,Valeera,On demande à Ésaü et Jacob ? Elles recherchent également des coéquipières.,
343,,Ithil,"Pas la peine, nous avons ici une très bonne candidate.",
344,,Valeera,"Cette très bonne candidate…c'est Turin, mais où allons-nous trouver la dernière ?",
345,,Turin,… il y a un instant une personne a entendu qu'il y avait une activité sportive et a dit qu'elle voulait vraiment y participer…,
346,,Ithil,C'est elle… elle est toujours sous la surveillance de l'Académie et elle ne peut pas y participer.,
347,,Kratos,"Lesactivités sportives sont tellements intéressantes, c'est difficile de ne pas pouvoir y participer.",
348,,Kratos,Peut-être… qu'il y a aussi des informations intéressantes à récolter.,
349,,Turin,Je pense que ce serait mieux si tu ne révélais pas tes intentions avant d'agir.,
350,,Ithil,Récolter des informations… à quelle genre d'information fais-tu référence ?,
351,,Kratos,"Vous serez très fatiguées à force d'être tous les jours sur vos gardes, relax~",
352,,Kratos,"Tout dépend de la saison, le printemps vient juste de faire son apparition, détendez-vous.",
353,,Ithil,"Quelle que soit la raison, tu es toujours sous surveillance, tu ne pourras pas participer aux activités.",
354,,Kratos,"Si ce n'était pas pour Turin, je ne serais pas apparu devant toi non plus.",
355,,Kratos,"Le combat à cheval est à la fois une dangereuse et brutale, si quelqu'un ose faire du mal à Turin…",
356,,Turin,"Je n'ai pas besoin d'une telle protection, Kratos tu réfléchis trop.",
357,,Valeera,Dissimuler l'identité de Kratos sur le terrain est la priorité absolue. Aucune étudiante ne voudrait découvrir que le danger numéro 1 de l'Académie se trouve sur le terrain.,
358,,Kratos,"Ah, alors on peut changer mon nom en Lupou ? Si je mets en plus une cagoule, je suis sûre que personne ne me reconnaîtra.",
359,,Valeera,Alors… je vais m'occuper d'inscrire tout le monde.,
360,,,"Pendant ce combat à cheval, il y eut beaucoup de combinaisons innatendues en plus du membre cagoulé de l'équipe menée par Valeera.",
361,,,"Phénix, Amelia, Quinie et Sonya ont firent équipe, et même Lucifer participa avec l'équipe de Michael.",
362,,Étudiante inactive,Je ne m'attendais pas à ce que cette activité rassemble autant de participantes…,
363,,Étudiante bien informée,"C'est parce que tu peux choisir toi-même ton équipe, et en plus il y a beaucoup plus de liberté dans cette compétition que dans les autres.",
364,,Étudiante bien informée,"Regarde, même Valeera y participe, et dans son équipe il y a… une personne très bizarre…",
365,,Étudiante inactive,"Ha Ha Ha, en voyant cette personne je ne peux pas m'empêcher de rire, en faisant le 「cheval」elle s'est vraiment couverte la tête avec un masque de cheval.",
366,,Étudiante bien informée,Luopu… Je n'ai jamais entendu ce nom auparavant.,
367,,Étudiante bien informée,"Mais l'équipe de Valeera a l'air très forte, je me demande si elles peuvent gagner.",
368,,Étudiante inactive,"C'est parti, c'est parti, le combat a commencé, nous connaîtrons le résulat très bientôt.",
369,,Ithil,"Tout d'abord retenez que la sécurité passe avant tout. Je ferais l'avant, si vous en avez besoin nous pouvons échanger de position.",
370,,Turin,"J'ai une plus grande résistance, je pense qu'il est plus raisonnable de me laisser à l'avant.",
371,,Kratos,"Je suis plus grande, dans ce genre de combat c'est un grand avantage pour gagner plus facilement.",
372,,Ithil,"On a dit que la sécurité passe avant tout, gagner ou perdre n'est pas le plus important, sans oublier que ça m'inquiète de vous confier Valeera.",
373,,Kratos,Quelle blague ! Comment gagner ou perdre n'est pas important dans un combat ?,
374,,Turin,"D'après mes calculs, notre probabilité de victoire est la plus élevée si je suis devant.",
375,,Turin,"Que ce soit en terme de sécurité ou de victoire, je devrais porter Valeera.",
376,,Kratos,"Impossible, c'est trop dangereux, si…",
377,,Valeera,"S'il vous plaît… un instant, depuis quand avons-nous décidé que je sois la cavalière ?",
378,,,"Les trois autres filles s'arrêtèrent de parler un instant suite à la question de Valeera, l'ignorèrent et reprirent leur conversation.",
379,,Valeera,Ithil tu n'as donc qu'à prendre l'avant…,
380,,Valeera,"Mes jambes sont portées par tout le monde, c'est une sensation bizarre…",
381,,Ithil,"Concentrez-vous, le combat va commencer.",
382,,Kratos,C'est un jeu d'enfant pour moi de gagner ce genre de combat.,
383,,Valeera,"Hé Hé Hé, Kra… Luopu, ralentis un peu, si tu vas trop vite Ithil va…",
384,,Ithil,"Ne t'inquiète pas, je peux encore suivre cette vitesse, par contre tu dois bien t'accrocher, ça va peut-être secouer.",
385,,Turin,"Le groupe à 11 heures a été déstabilisé par leur élan, le bandeau de leur cavalière peut être facilement obtenu.",
386,,Valeera,! ! Je l'ai !,
387,,Turin,"Bien, la prochaine cible… Hum…",
388,,,La douce voix de Turin laissa place à un bruit sourd de collision.,
389,,,Quinie et Sonya voulurent s'emparer du bandeau de Valeera par surprise mais Turin résista fermement.,
390,,Kratos,Vous… Bande de !,
391,,Ithil,"Luopu, calme-toi un peu ! Ce n'est qu'un jeu…",
392,,,"Kratos n'eut que faire des paroles d'Ithil et projeta directement Sonya au sol, Sonya et son équipe se firent ainsi éliminés du combat.",
393,,Valeera,N'était-ce… pas un peu trop exagéré… maintenant tout le public a les yeux rivés sur nous.,
394,,Kratos,On ne se serait pas fait remarquer si elles…,
395,,Ithil,"Reprenez-vous, le combat n'est pas encore fini, à 2 heures, une équipe arrive.",
396,,Kratos,Bon ! Éliminons-les tous en une seule fois.,
397,,Valeera,Attendez… un instant… écoutez un instant… l'avis de… la cavalière…,
398,,Valeera,"Au final… même si nous avons gagné le combat, c'est grâce aux points obtenus par la charge de Kratos…",
399,,Turin,"Non seulement nous avons gagné, mais nous avons également battu le record de l'Académie et nous sommes parues dans le journal.",
400,,Valeera,"C'est comme ça, j'ai honte…",
401,,Kratos,"Huh, elle n'aura qu'une bosse après avoir touché le sol, une personne si faible n'est pas digner d'être mon adversaire.",
402,,Kratos,Et ces deux-là qui ont osées frapper Turin…,
403,,Ithil,"Assez, tu as déjà récolté les informations que tu voulais, dépêche-toi de disparaître d'ici.",
404,,Kratos,"Je n'ai pas besoin de ton ordre, je m'en vais tout de suite.",
405,,Valeera,"Conservez bien ce journal, c'est un souvenir précieux de nous quatre…",
406,,Turin,"Hein, mais Kratos a été photographiée…",
407,,Ithil,"De toute façon elle portait sa ""tête de cheval""…",
408,,Kratos,Vous ! Je ne suis pas encore partie vous savez !,
409,Course d'Orientation,Valeera,"Je pense que vous avez déjà toutes pris connaissances du règlement de la course d'orientation, cependant, en tant qu'arbitre, je me dois de vous rappeler quelques points importants.",
410,,Valeera,"Premièrement, vous devez suivre strictement l'ordre des points de contrôle indiqués sur la carte pour terminer l'ensemble du parcours, vous ne pouvez en aucun cas sauter des points de contrôle ou d'y passer en modifiant leur ordre.",
411,,Valeera,"Deuxièmement, vous n'êtes pas autorisées vos ailes ou vos montures, si nous découvrons que vous en avez fait l'utilisation, vous serez disqualifiées.",
412,,Valeera,J'espère que vous participerez à cette course sérieusement et au maximum de vos capacités !,
413,,Jacob,Ésaü… on ne peut pas utiliser nos ailes…,
414,,Ésaü,Pourquoi ? ? Est-ce parce que…,
415,,Jacob,"C'est parce que tu es spécialement allée demander à Valeera si on pouvait utiliser nos ailes, ça le lui a fait rappeler.",
416,,Ésaü,"Ah ! Dans ce cas, nous n'avons aucune chance de gagner…",
417,,Ésaü,"Jacob, il vaut mieux se retirer de la course.",
418,,Jacob,"… Ésaü, en fait depuis le début tu ne comptais pas finir la course en courant normalement…",
419,,Ésaü,"Mais non, je plaisante, comment pourrais-je me comporter comme ça… ha ha…",
420,,,"En regardant de plus près les participantes de la course d'orientation, la plupart d'entre elles avaient des ailes ou des montures.",
421,,Ésaü,"Ce n'est pas grave, la moitié des participantes sont dans le même cas que nous.",
422,,Ésaü,Même Phénix et Wraith doivent penser la même chose…,
423,,Pandaria,Hum… je ne peux pas utiliser ma monture… je pense que je vais finir dernière.,
424,,Chevalir,De toute façon ton panda n'est pas très rapide…,
425,,Pandaria,"Ne sous-estime pas Gungun ! Il est aussi rapide que la foudre, mais maintenant peu importe sa vitesse, il ne peut pas participer…",
426,,Pandaria,"Dis, ton poney il est où ? Je ne l'ai pas encore vu…",
427,,Chevalir,"Mon petit poney profite de sa retraite avec Psychic. Pour m'adapter à la tendance actuelle, j'ai pris une moto~",
428,,Chevalir,"À l'origine, je ne comptais pas du tout gagner à l'aide d'une monture, donc j'ai garé ma moto ailleurs.",
429,,Pandaria,"Aïe, c'est bien dommage, si tu avais ta moto… tu aurais pu gagner en un éclair.",
430,,Chevalir,"Tu dois prendre cette course au sérieux, arrête de penser à tricher.",
431,,Pandaria,"C'est n'est qu'une pensée… c'est bon c'est bon, je vais me concentrer.",
432,,Valeera,"C'est bon, tout est en place~prêt~",
433,,,"Au signal de départ, toutes les participantes se précipitèrent vers le premier point marqué sur leur carte.",
434,,Pandaria,"Han… han, le premier point c'est… la porte principale de l'Académie.",
435,,Pandaria,"Sans Gungun, une telle épreuve… han… avec des jambes aussi courtes que les miennes… han… c'est impossible !",
436,,Pandaria,Qui… peu importe qui… À L'AIDE ! VENEZ ME SAUVER !,
437,,,Pandaria vit une moto arrivée à côté d'elle comme si cette dernière avait entendu son appel au secours.,
438,,Pandaria,"C'est la moto de Chevalir ! Elle avait dit que sa voiture était garée ailleurs, finalement était ici.",
439,,Pandaria,Si j'utilise sa moto… de cette façon je peux très facilement terminer cette course…,
440,,Pandaria,"De toute façon, le parcours de chaque participante est différent, personne ne s'en rendra compte.",
441,,Pandaria,"En plus, se déplacer sur une moto ou sur Gungun ne devrait pas être bien différent…",
442,,Pandaria,"Bon… Chevalir, merci à toi, je t'emprunte ta moto~",
443,,Pandaria,"Alors alors, réfléchissons un instant, quelles sont les étapes quand je me déplace sur Gungun…",
444,,Pandaria,"Tout d'abord, monter sur son dos, ensuite lui dire d'avancer…",
445,,Pandaria,"C'est bon ! Alors Petite Moto, conduis-moi au bord du lac à côté de la Maison Humain s'il te plaît !",
446,,Pandaria,"Hein ? Petite moto, même si je ne suis pas ton Maître, ton Maître m'a déjà donné le droit de t'utiliser, par conséquent, merci de m'écouter et de te dépêcher d'avancer.",
447,,Pandaria,"Aucune réaction… si je me souviens de la posture de Chevalir, il me semble qu'elle posait ses deux mains ici…",
448,,Pandaria,"Hum, ce ne seraient pas les oreilles de Petite Moto ? !",
449,,Pandaria,"Oui ! Ça doit être ses oreilles, donc si je tire ses oreilles elle va aller plus vite~",
450,,Pandaria,"Donc~Désolé, c'est parti Petite Moto !",
451,,,"Pandaria serra fortement la poignée de l'accélérateur avec sa main droite, la moto se précipita immédiatement de la pelouse laissant ainsi une marque profonde de roue sur la pelouse.",
452,,Pandaria,Wow~si rapide~tu es trop géniale Petite Moto !,
453,,Pandaria,"J'ai laissé des traces de roues… Elfe Bourgeon, ne t'inquiète pas, je viendrais m'excuser !",
454,,Pandaria,Hé ? Petite Moto ? Petite moto ? Arrête-toi ! Si tu ne t'arrêtes pas on va finir dans le lac ! !,
455,,Pandaria,C'est dangereux ! ! À l'aide !,
456,,,"Pandaria lâcha l'accélérateur pendant qu'elle criait à l'aide, mais avec la vitesse et l'élan, la moto continua sa course pour finir dans le lac.",
457,,Chevalir,"Pandaria, peux-tu m'expliquer ce que tu fais dans le lac avec moto ?",
458,,Pandaria,C'est… kof kof… les explications peuvent attendre plus tard…,
459,,Pandaria,Glouglou…,
460,,Pandaria,À l'aide… kof kof… je… je ne sais pas nager…,
461,,Valeera,"J'ai compris la situation, les notes Pandaria seront annulées et elle doit rembourser les frais d'une nouvelle moto à Chevalir. Des objections ?",
462,,Pandaria,… Non…,
463,,Valeera,"De plus, je récupère cette carte de particpant.",
464,,Pandaria,Valeera… est-ce que je peuxgarder ma carte de participant ?,
465,,Valeera,"Impossible, ta carte de participante à la course d'orientation doit t'être retirée.",
466,,Chevalir,J'espère que tu ne veux pas garder ta carte pour participer à la prochaine compétition…,
467,,Chevalir,Comment la carte de participante de la prochaine compétition pourrait être la même que celle-ci ? Arrête de rêver !,
468,,Pandaria,"Eh bien, non… j'ai juste envie… de m'entraîner à utiliser une moto~",
469,,Pandaria,"La prochaine fois, Chevalir prête-moi ta moto~",
470,,Chevalir,Tu rêves !,
